Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1959,2.42,1.94,2.04,0.98,0.40,0.01,0.93
1960,2.56,1.79,1.51,0.96,1.23,0.01,0.64
1961,2.57,1.67,1.66,0.81,0.84,0.01,0.92
1962,2.66,1.61,1.19,0.90,1.32,0.02,0.85
1963,2.80,1.54,1.21,1.06,0.87,0.02,1.19
1964,2.96,1.49,1.04,1.21,1.69,0.02,0.49
1965,3.09,1.38,2.34,1.32,0.34,0.02,0.45
1966,3.24,1.32,2.34,1.28,1.40,0.02,-0.47
1967,3.34,1.34,1.30,1.13,1.68,0.02,0.57
1968,3.52,1.36,2.10,1.18,2.40,0.02,-0.83
1969,3.76,1.27,2.80,1.27,0.71,0.02,0.22
1970,4.07,1.26,2.40,1.13,0.71,0.03,1.06
1971,4.23,1.25,1.55,1.21,2.45,0.03,0.24
1972,4.43,1.25,3.12,1.48,1.25,0.03,-0.20
1973,4.66,1.21,3.10,1.35,1.89,0.03,-0.50
1974,4.64,1.18,1.44,1.31,4.19,0.03,-1.15
1975,4.65,1.19,2.61,1.26,2.65,0.03,-0.70
1976,4.91,1.17,2.06,1.42,2.99,0.04,-0.42
1977,5.05,1.20,4.08,1.50,1.51,0.04,-0.88
1978,5.21,1.15,2.74,1.54,2.78,0.04,-0.74
1979,5.35,1.11,4.55,1.49,1.42,0.04,-1.03
1980,5.32,1.11,3.63,1.74,0.41,0.04,0.61
1981,5.20,1.20,2.44,1.72,2.22,0.04,-0.04
1982,5.15,1.20,2.10,1.89,1.67,0.05,0.65
1983,5.19,1.31,3.89,2.01,0.28,0.05,0.28
1984,5.37,1.45,2.61,1.87,2.89,0.05,-0.60
1985,5.55,1.39,3.50,1.78,2.77,0.05,-1.16
1986,5.63,1.40,2.17,1.83,2.31,0.05,0.67
1987,5.81,1.40,5.63,1.92,0.35,0.05,-0.75
1988,6.03,1.38,4.61,1.79,2.06,0.06,-1.11
1989,6.12,1.33,3.10,1.82,3.57,0.06,-1.10
1990,6.21,1.33,2.59,2.01,2.33,0.06,0.55
1991,6.34,1.30,1.59,2.12,2.25,0.06,1.61
1992,6.16,1.33,1.53,2.27,2.26,0.06,1.38
1993,6.23,1.33,2.61,2.22,2.86,0.07,-0.20
1994,6.27,1.45,3.53,2.01,1.47,0.07,0.64
1995,6.40,1.44,4.25,2.00,1.77,0.07,-0.25
1996,6.59,1.44,2.23,2.01,3.40,0.08,0.33
1997,6.63,1.94,4.18,2.16,3.19,0.08,-1.03
1998,6.61,1.50,6.03,2.20,1.51,0.08,-1.71
1999,6.75,1.50,2.82,1.97,3.59,0.08,-0.22
2000,6.95,1.40,2.66,1.91,3.75,0.09,-0.06
2001,7.01,1.29,3.93,1.82,2.38,0.09,0.08
2002,7.17,1.41,5.03,2.17,0.99,0.09,0.30
2003,7.55,1.54,4.86,2.31,2.31,0.10,-0.50
2004,7.82,1.46,3.29,2.27,3.47,0.11,0.14
2005,8.08,1.29,5.25,2.33,1.88,0.12,-0.20
2006,8.35,1.38,3.76,2.43,3.11,0.13,0.31
2007,8.60,1.21,4.50,2.36,2.71,0.14,0.10
2008,8.76,1.27,3.78,2.38,3.63,0.14,0.09
2009,8.61,1.37,3.36,2.54,2.99,0.15,0.96
2010,9.11,1.32,5.14,2.51,3.32,0.16,-0.70
2011,9.41,1.35,3.57,2.55,4.11,0.17,0.37
2012,9.55,1.32,5.12,2.62,2.32,0.18,0.64
2013,9.64,1.26,5.20,2.65,3.56,0.18,-0.69
2014,9.71,1.34,4.33,2.78,3.66,0.19,0.08
2015,9.70,1.47,6.27,2.85,2.01,0.20,-0.14
