Year,Month,WDCGG N2O (ppb),WDCGG N2O uncertainty
1984,1,303.80,
1984,2,303.80,
1984,3,303.70,
1984,4,303.70,
1984,5,303.70,
1984,6,303.70,
1984,7,303.70,
1984,8,303.80,
1984,9,303.90,
1984,10,304.00,
1984,11,304.20,
1984,12,304.30,
1985,1,304.40,
1985,2,304.50,
1985,3,304.40,
1985,4,304.30,
1985,5,304.30,
1985,6,304.30,
1985,7,304.20,
1985,8,304.30,
1985,9,304.40,
1985,10,304.60,
1985,11,304.80,
1985,12,304.90,
1986,1,305.00,
1986,2,305.10,
1986,3,305.20,
1986,4,305.20,
1986,5,305.20,
1986,6,305.20,
1986,7,305.30,
1986,8,305.30,
1986,9,305.40,
1986,10,305.60,
1986,11,305.70,
1986,12,305.80,
1987,1,305.90,
1987,2,305.90,
1987,3,305.80,
1987,4,305.70,
1987,5,305.70,
1987,6,305.70,
1987,7,305.70,
1987,8,305.80,
1987,9,305.90,
1987,10,306.10,
1987,11,306.20,
1987,12,306.30,
1988,1,306.50,
1988,2,306.50,
1988,3,306.50,
1988,4,306.50,
1988,5,306.50,
1988,6,306.50,
1988,7,306.50,
1988,8,306.60,
1988,9,306.70,
1988,10,306.90,
1988,11,307.10,
1988,12,307.20,
1989,1,307.30,
1989,2,307.40,
1989,3,307.40,
1989,4,307.30,
1989,5,307.40,
1989,6,307.40,
1989,7,307.50,
1989,8,307.60,
1989,9,307.70,
1989,10,307.90,
1989,11,308.10,
1989,12,308.20,
1990,1,308.30,
1990,2,308.40,
1990,3,308.40,
1990,4,308.40,
1990,5,308.40,
1990,6,308.50,
1990,7,308.50,
1990,8,308.60,
1990,9,308.70,
1990,10,308.80,
1990,11,309.00,
1990,12,309.10,
1991,1,309.20,
1991,2,309.30,
1991,3,309.30,
1991,4,309.20,
1991,5,309.20,
1991,6,309.20,
1991,7,309.20,
1991,8,309.20,
1991,9,309.40,
1991,10,309.50,
1991,11,309.60,
1991,12,309.70,
1992,1,309.80,
1992,2,309.80,
1992,3,309.80,
1992,4,309.80,
1992,5,309.70,
1992,6,309.70,
1992,7,309.80,
1992,8,309.80,
1992,9,309.90,
1992,10,310.00,
1992,11,310.10,
1992,12,310.20,
1993,1,310.20,
1993,2,310.20,
1993,3,310.10,
1993,4,310.00,
1993,5,310.00,
1993,6,309.90,
1993,7,309.90,
1993,8,309.90,
1993,9,310.00,
1993,10,310.10,
1993,11,310.20,
1993,12,310.40,
1994,1,310.50,
1994,2,310.50,
1994,3,310.50,
1994,4,310.50,
1994,5,310.50,
1994,6,310.50,
1994,7,310.60,
1994,8,310.60,
1994,9,310.70,
1994,10,310.90,
1994,11,311.00,
1994,12,311.20,
1995,1,311.30,
1995,2,311.30,
1995,3,311.30,
1995,4,311.30,
1995,5,311.20,
1995,6,311.20,
1995,7,311.20,
1995,8,311.30,
1995,9,311.40,
1995,10,311.50,
1995,11,311.70,
1995,12,311.80,
1996,1,311.90,
1996,2,312.00,
1996,3,311.90,
1996,4,311.90,
1996,5,311.90,
1996,6,311.90,
1996,7,311.90,
1996,8,312.00,
1996,9,312.10,
1996,10,312.20,
1996,11,312.40,
1996,12,312.60,
1997,1,312.70,
1997,2,312.70,
1997,3,312.80,
1997,4,312.70,
1997,5,312.70,
1997,6,312.80,
1997,7,312.80,
1997,8,312.90,
1997,9,313.00,
1997,10,313.10,
1997,11,313.30,
1997,12,313.40,
1998,1,313.60,
1998,2,313.60,
1998,3,313.60,
1998,4,313.50,
1998,5,313.60,
1998,6,313.60,
1998,7,313.60,
1998,8,313.70,
1998,9,313.80,
1998,10,314.00,
1998,11,314.10,
1998,12,314.30,
1999,1,314.40,
1999,2,314.50,
1999,3,314.50,
1999,4,314.40,
1999,5,314.40,
1999,6,314.40,
1999,7,314.40,
1999,8,314.50,
1999,9,314.70,
1999,10,314.90,
1999,11,315.00,
1999,12,315.20,
2000,1,315.40,
2000,2,315.50,
2000,3,315.50,
2000,4,315.50,
2000,5,315.50,
2000,6,315.60,
2000,7,315.60,
2000,8,315.70,
2000,9,315.80,
2000,10,316.00,
2000,11,316.10,
2000,12,316.30,
2001,1,316.40,
2001,2,316.40,
2001,3,316.30,
2001,4,316.30,
2001,5,316.20,
2001,6,316.20,
2001,7,316.30,
2001,8,316.30,
2001,9,316.40,
2001,10,316.60,
2001,11,316.70,
2001,12,316.90,
2002,1,317.00,
2002,2,317.10,
2002,3,317.00,
2002,4,316.90,
2002,5,316.90,
2002,6,316.90,
2002,7,317.00,
2002,8,317.00,
2002,9,317.10,
2002,10,317.20,
