Year,All forcings,Human,Natural,Anthropogenic tropospheric aerosol,Greenhouse gases,Land use,Orbital changes,Ozone,Solar,Volcanic
1850,287.46765864405500,287.42899646851500,287.44664895365200,287.42589142037100,287.41700017257100,287.45035014417900,287.4429367835310,287.45064461263600,287.45035014417900,287.44664895365200
1851,287.51785254484400,287.43372458230100,287.46020060824000,287.44640211057500,287.39925963211600,287.39445273569700,287.45082489774600,287.40764583918700,287.43474404384500,287.45825930414100
1852,287.51755808853700,287.47382432347900,287.53064175533900,287.49865704588700,287.41560565178600,287.48275003635700,287.45311764945800,287.44746714152100,287.4663088858680,287.56054173558300
1853,287.47826225026000,287.45469507516800,287.5197316525430,287.41732520840300,287.43321690710400,287.50989353878700,287.46820509510400,287.47536642716100,287.45529639806500,287.53429937048600
1854,287.47757234104400,287.41780424486400,287.50781020773700,287.42454179849700,287.4205890751250,287.44577365389500,287.48659024925400,287.45419175999600,287.43623262970500,287.55244025878400
1855,287.49985280833100,287.40436005994400,287.49953317438100,287.47078216890200,287.41250204512500,287.45505136290500,287.45256937220800,287.45521455455700,287.42714304137300,287.48094623924700
1856,287.37220740464700,287.39245681402100,287.46571128755000,287.43494045837500,287.39390804237800,287.45838196674200,287.48600074109400,287.46499635109000,287.39924343346000,287.44046682224400
1857,287.2806216125460,287.40835660871900,287.27799676245600,287.47714794290400,287.41860569237100,287.42034296622300,287.45339032158200,287.44541833822100,287.46981008164300,287.35939586645500
1858,287.30278807112600,287.44340086908300,287.31857587900900,287.47087390394500,287.40209224317600,287.39663234111700,287.46290279268100,287.44659923406200,287.45264277556200,287.36250403330700
1859,287.4040799862460,287.37196662362200,287.34669707042700,287.4413521420600,287.3997061440720,287.44145630068300,287.46331376968500,287.4804297699980,287.46731023438200,287.43679247526000
1860,287.4932241340930,287.40544287849000,287.42288028938600,287.40559486452400,287.43772875892500,287.41444254870400,287.43068425507000,287.46760121952200,287.44807324674200,287.46433090236400
1861,287.49272614251800,287.40360557970200,287.41257268151600,287.40770268178800,287.43736025387200,287.43389956339400,287.45876888860500,287.44214439198500,287.47310848380500,287.50971766596900
1862,287.45947422361500,287.43392164631100,287.40011982731700,287.49655700947800,287.3899216427790,287.42876079166800,287.44703934809100,287.43182998366400,287.44575085600300,287.48148359700700
1863,287.47219072813100,287.39679748870300,287.45654434993200,287.38035287955400,287.4238093822630,287.44519783026300,287.47888219963200,287.49007754579400,287.41006421242000,287.42794953567800
1864,287.48806529347600,287.40564915746800,287.44294620376900,287.41557199814900,287.41789923887400,287.51338544619400,287.42125926869100,287.45820637871900,287.41160191386600,287.47957054329300
1865,287.5415844127720,287.42431776398600,287.4242749015300,287.42807143930200,287.40230485010200,287.4356595085000,287.43421945162000,287.46658474683200,287.418472962583,287.49993599389800
1866,287.5950701132840,287.45322278854600,287.4584389945560,287.42437868637900,287.41061988748400,287.48701831356600,287.42790347876000,287.46773182269600,287.4269236839950,287.49048835036300
1867,287.5437078887680,287.42339555238600,287.44307943794400,287.47237478957800,287.4122273822090,287.46056293998800,287.41003643944400,287.40876650613800,287.38246239682500,287.49585352997600
1868,287.48100331538000,287.4294245909160,287.48413995921300,287.44434881540600,287.40052931591400,287.40913643608800,287.43150676830000,287.40375459746200,287.37542970579300,287.52482676062000
1869,287.50736501431800,287.43757401449200,287.49356808829900,287.40257643802000,287.43541439410100,287.43421718054000,287.43451620977900,287.44130795028700,287.38944217870900,287.51009402633200
1870,287.51078404343600,287.43390469887100,287.46603517253000,287.39575126467000,287.4598338922210,287.43954007006800,287.42224962730000,287.49633208762100,287.43815215704400,287.49515908153200
1871,287.48608431448700,287.46928760178500,287.49511958631100,287.43868720166400,287.44592443326700,287.45470358911500,287.41307727244700,287.4551828422900,287.40409167322100,287.46300583917700
