Year,Temp (K)
1,287.4776828874230
2,287.479780118807
3,287.39927955570500
4,287.4147077331310
5,287.4937908005230
6,287.5069425940440
7,287.5047307476360
8,287.39365969558300
9,287.36091274196200
10,287.42903203284100
11,287.36189188670300
12,287.28616937950800
13,287.4788395403280
14,287.51391183504500
15,287.4779862681380
16,287.4733776045250
17,287.5354860632390
18,287.4579872504540
19,287.38053366746700
20,287.45392393088000
21,287.437117459786
22,287.4181504467120
23,287.4195380896500
24,287.39599639844100
25,287.4441668801280
26,287.39396991611200
27,287.5019191256680
28,287.56740723789000
29,287.4486514385290
30,287.40194799937300
31,287.42949849200200
32,287.51687511682100
33,287.5144118989590
34,287.4212420381440
35,287.5876702988690
36,287.50658774536800
37,287.35461800065300
38,287.39998948424800
39,287.4993363722660
40,287.475622112498
41,287.3964089131000
42,287.366079536877
43,287.39337711690900
44,287.45419484039600
45,287.44956679995600
46,287.35175761731100
47,287.3564748322690
48,287.3388832937050
49,287.4390781115450
50,287.4499747047410
51,287.3602519375500
52,287.4885302480920
53,287.36099424640800
54,287.337661480823
55,287.4256072215250
56,287.39692059941300
57,287.3424376177280
58,287.4019338594860
59,287.3386830742020
60,287.3279251361210
61,287.40559847991800
62,287.30362084570200
63,287.40963054914700
64,287.4093585405440
65,287.3691157342510
66,287.4412738710330
67,287.3778297396970
68,287.434187526273
69,287.4323638395090
70,287.39177312398400
71,287.54690489389600
72,287.5049500836600
73,287.46202480347200
74,287.4143639574500
75,287.4569425185140
76,287.3913644358190
77,287.3695856569640
78,287.3892501865670
79,287.3445799978860
80,287.29092791793500
81,287.30656421891400
82,287.38928655301700
83,287.37821967426300
84,287.44798603172300
85,287.46085092567500
86,287.4883087589060
87,287.48006664481700
88,287.5297270447990
89,287.53069267154700
90,287.52126930623
91,287.3954374001290
92,287.3975299690380
93,287.47989629092100
94,287.3488175151130
95,287.41450273767500
96,287.54404036587100
97,287.5100658339670
98,287.5169841948930
99,287.49595884144700
100,287.43241229740000
101,287.4457874073790
102,287.4219564129220
103,287.50597832469200
104,287.5516223202520
105,287.4459624507560
106,287.4998389874600
107,287.55197627380300
108,287.50732839176600
109,287.3246453470900
110,287.4768889861900
111,287.3713415256080
112,287.36770619317100
113,287.4170632183070
114,287.2805394404280
115,287.32469373311400
116,287.43909375358600
117,287.3812389697350
118,287.436004007123
119,287.41607724136600
120,287.32048620738100
121,287.27660977290600
122,287.33501603411400
123,287.35128049730400
124,287.38639947900900
125,287.4255306775250
126,287.4835543914040
127,287.3278730463300
128,287.3132986673560
129,287.43444400612000
130,287.56547720194900
131,287.4522368170460
132,287.4630442801210
133,287.61602904197900
134,287.5965556051540
135,287.51498501731800
136,287.4934914535510
137,287.58077247071900
138,287.5036999374510
139,287.565298069457
140,287.54250814453900
141,287.57115548750500
142,287.57441307989100
143,287.5139596099920
144,287.56819289416800
145,287.67888569579200
146,287.53953455408900
147,287.42362006835700
148,287.4998736226690
149,287.5080363983500
150,287.4302515881480
151,287.46919504648400
152,287.5112753234120
153,287.45773380854900
154,287.45447230225100
155,287.41478032181700
156,287.4834770870930
157,287.5109502877120
158,287.44497163353800
159,287.5024838937750
160,287.54189016677500
161,287.39175573763100
162,287.514792867773
163,287.57611187672600
164,287.5185505469990
165,287.49108564955500
166,287.4325603779050
167,287.5097196697830
168,287.4896332044730
169,287.5452141673120
170,287.48415146392500
171,287.4509642148740
172,287.43162798315600
173,287.47413374335800
174,287.4428819314990
175,287.4022506085300
176,287.3979784720600
177,287.3259545113660
178,287.39474516961600
179,287.4850542998090
180,287.3165754948330
181,287.38990660851900
182,287.48427778661200
183,287.505442366729
184,287.4347139816560
185,287.4584268674190
186,287.30707772565600
187,287.4212293491390
188,287.5677750831300
189,287.5087284218460
190,287.4939353473150
191,287.49092222132600
192,287.49054437988900
193,287.5239755266790
194,287.464997758814
195,287.48076625472600
196,287.44388037666000
197,287.46987272799700
198,287.3748016705030
199,287.4523735635570
200,287.49687233174800
201,287.41209014509900
202,287.49305429722800
203,287.5206702209660
204,287.3305388620090
205,287.4492012655390
206,287.3788702553830
207,287.4116712436800
208,287.50581861995300
209,287.3128216315810
210,287.4627062285110
211,287.4245534731550
212,287.400580272401
213,287.55325852002400
214,287.50606674553000
215,287.3955436194570
216,287.4898274837450
217,287.4822609676030
218,287.41497588712300
219,287.5283095016940
220,287.4635652471160
221,287.5256439144000
222,287.53365516460400
223,287.4868470237770
224,287.4499063555850
225,287.54366662604900
226,287.50423568317300
227,287.50645982547600
228,287.471026025642
229,287.46128077281700
230,287.485496485767
231,287.47498663729300
232,287.39740131842200
233,287.421370924703
234,287.4861642257000
235,287.343001274063
236,287.3752885736370
237,287.39285600896300
238,287.27420752206200
239,287.30593044105200
240,287.3721847702490
241,287.3585650958520
242,287.44460367337300
243,287.41744213671300
244,287.3510475502100
245,287.398046861685
246,287.4204667900650
247,287.32430376417000
248,287.4526168021810
249,287.4234732289090
250,287.3430755984790
251,287.42114590102200
252,287.46301651883600
253,287.4284236488850
254,287.40491639119300
255,287.3972655972400
256,287.33212495867500
257,287.4462470836290
258,287.39782290508100
259,287.4680860444280
260,287.52415043337400
261,287.3511094069370
262,287.45225757141200
263,287.30568272130700
264,287.326386263414
265,287.3894739703600
266,287.47803457025900
267,287.40814512137600
268,287.40589226671700
269,287.2983515107250
270,287.24855936948900
271,287.41925541494900
272,287.40596533676400
273,287.35895509636500
274,287.33682801795300
275,287.33283937558000
276,287.5116273452920
277,287.43902027088900
278,287.3850538808650
279,287.3663982783670
280,287.46034510277300
281,287.4003892536350
282,287.4681488355060
283,287.4337567132120
284,287.41488486243300
285,287.3631607631660
286,287.46144416268400
287,287.45627427494600
288,287.31025587248300
289,287.3919063952490
290,287.30578159306500
291,287.30760646306100
292,287.36461732320800
293,287.3440482477730
294,287.40406323069800
295,287.41028757142300
296,287.3082122512550
297,287.4538410525260
298,287.4255051774170
299,287.4140060100080
300,287.3877301614510
301,287.6064094852820
302,287.5508829402820
303,287.5152103778020
304,287.585034004345
305,287.55383241987400
306,287.51843374733300
