Year,Berkeley Earth (degC),Berkeley Earth uncertainty
1850,-0.22,0.644
1851,-0.10,0.605
1852,-0.08,0.615
1853,-0.08,0.566
1854,-0.07,0.565
1855,-0.06,0.585
1856,-0.18,0.535
1857,-0.32,0.504
1858,-0.11,0.505
1859,-0.00,0.486
1860,-0.15,0.505
1861,-0.23,0.489
1862,-0.34,0.509
1863,-0.11,0.537
1864,-0.13,0.532
1865,-0.02,0.537
1866,0.04,0.549
1867,0.08,0.525
1868,0.04,0.473
1869,0.03,0.482
1870,-0.05,0.433
1871,-0.10,0.433
1872,-0.07,0.452
1873,-0.03,0.417
1874,-0.08,0.383
1875,-0.12,0.364
1876,-0.12,0.370
1877,0.26,0.384
1878,0.34,0.397
1879,-0.00,0.356
1880,-0.08,0.363
1881,0.03,0.342
1882,-0.02,0.320
1883,-0.07,0.322
1884,-0.24,0.311
1885,-0.21,0.330
1886,-0.24,0.316
1887,-0.27,0.311
1888,-0.06,0.304
1889,0.06,0.292
1890,-0.23,0.308
1891,-0.11,0.302
1892,-0.18,0.284
1893,-0.16,0.282
1894,-0.14,0.273
1895,-0.07,0.276
1896,0.02,0.275
1897,0.03,0.284
1898,-0.18,0.285
1899,-0.00,0.277
1900,0.11,0.270
1901,0.03,0.281
1902,-0.13,0.267
1903,-0.23,0.260
1904,-0.29,0.266
1905,-0.11,0.271
1906,-0.02,0.269
1907,-0.19,0.254
1908,-0.21,0.250
1909,-0.28,0.237
1910,-0.24,0.234
1911,-0.25,0.238
1912,-0.18,0.230
1913,-0.15,0.229
1914,0.04,0.238
1915,0.09,0.246
1916,-0.15,0.251
1917,-0.30,0.254
1918,-0.13,0.257
1919,-0.07,0.262
1920,-0.01,0.256
1921,0.05,0.252
1922,-0.04,0.242
1923,-0.01,0.240
1924,-0.01,0.242
1925,0.03,0.241
1926,0.16,0.246
1927,0.04,0.242
1928,0.06,0.243
1929,-0.13,0.240
1930,0.10,0.243
1931,0.16,0.241
1932,0.12,0.237
1933,-0.07,0.238
1934,0.08,0.235
1935,0.02,0.237
1936,0.08,0.231
1937,0.24,0.234
1938,0.25,0.232
1939,0.23,0.244
1940,0.31,0.257
1941,0.27,0.413
1942,0.28,0.416
1943,0.33,0.413
1944,0.44,0.413
1945,0.31,0.414
1946,0.16,0.308
1947,0.23,0.298
1948,0.14,0.283
1949,0.13,0.249
1950,0.06,0.212
1951,0.24,0.190
1952,0.31,0.219
1953,0.39,0.224
1954,0.20,0.203
1955,0.14,0.181
1956,0.06,0.150
1957,0.29,0.160
1958,0.29,0.145
1959,0.27,0.142
1960,0.22,0.143
1961,0.29,0.118
1962,0.23,0.117
1963,0.28,0.119
1964,0.01,0.108
1965,0.13,0.123
1966,0.19,0.109
1967,0.22,0.103
1968,0.14,0.097
1969,0.29,0.090
1970,0.25,0.085
1971,0.13,0.086
1972,0.24,0.098
1973,0.37,0.094
1974,0.17,0.094
1975,0.24,0.096
1976,0.14,0.111
1977,0.47,0.092
1978,0.34,0.090
1979,0.42,0.080
1980,0.54,0.082
1981,0.59,0.091
1982,0.37,0.101
1983,0.56,0.088
1984,0.39,0.093
1985,0.38,0.088
1986,0.44,0.083
1987,0.58,0.075
1988,0.62,0.078
1989,0.51,0.085
1990,0.69,0.085
1991,0.68,0.081
1992,0.47,0.090
1993,0.53,0.080
1994,0.58,0.086
1995,0.74,0.081
1996,0.62,0.078
1997,0.76,0.080
1998,0.92,0.078
1999,0.67,0.078
2000,0.67,0.078
2001,0.81,0.079
2002,0.90,0.077
2003,0.88,0.078
2004,0.80,0.082
2005,0.96,0.084
2006,0.91,0.072
2007,0.93,0.075
2008,0.80,0.075
2009,0.93,0.073
2010,1.00,0.079
2011,0.89,0.081
2012,0.91,0.085
2013,0.93,0.084
2014,1.00,0.075
2015,1.15,0.077
2016,1.29,0.080
2017,1.20,0.077
2018,1.12,0.082
2019,1.26,0.076
2020,1.28,0.075
2021,1.13,0.077
2022,1.17,0.081
2023,1.28,0.089
